doctor_id,department,doctor_avg_consult_minutes,day_of_week,hour_of_day,queue_length_ahead,patient_type,wait_time_minutes
DOC1,Cardiology,15,Friday,15,3,normal,82.09
DOC6,General Medicine,10,Thursday,11,4,normal,71.88
DOC2,General Medicine,10,Sunday,12,4,normal,32.86
DOC3,Orthopedics,20,Tuesday,15,4,normal,135.22
DOC3,Orthopedics,20,Sunday,17,3,normal,73.06
DOC4,Pediatrics,12,Monday,12,3,normal,52.35
DOC2,General Medicine,10,Saturday,11,3,normal,38.62
DOC1,Cardiology,15,Friday,13,2,normal,40.11
DOC5,Dermatology,8,Tuesday,11,1,emergency,8.3
DOC1,Cardiology,15,Sunday,17,5,normal,83.21
DOC3,Orthopedics,20,Thursday,12,4,normal,81.2
DOC6,General Medicine,10,Wednesday,9,4,normal,69.03
DOC6,General Medicine,10,Wednesday,11,5,normal,83.8
DOC3,Orthopedics,20,Wednesday,19,5,normal,113.06
DOC3,Orthopedics,20,Saturday,12,3,normal,43.81
DOC3,Orthopedics,20,Sunday,14,2,normal,34.37
DOC3,Orthopedics,20,Thursday,15,4,normal,124.83
DOC1,Cardiology,15,Saturday,12,5,normal,48.22
DOC6,General Medicine,10,Tuesday,18,3,normal,50.65
DOC4,Pediatrics,12,Thursday,16,10,normal,179.01
DOC6,General Medicine,10,Monday,13,4,normal,48.71
DOC3,Orthopedics,20,Wednesday,16,1,normal,55.13
DOC3,Orthopedics,20,Thursday,13,4,normal,79.95
DOC1,Cardiology,15,Wednesday,19,5,normal,79.99
DOC6,General Medicine,10,Sunday,9,4,normal,50.08
DOC2,General Medicine,10,Saturday,19,4,normal,33.22
DOC5,Dermatology,8,Saturday,11,3,normal,32.55
DOC2,General Medicine,10,Monday,19,5,normal,70.33
DOC2,General Medicine,10,Saturday,13,4,normal,22.49
DOC2,General Medicine,10,Thursday,19,3,normal,34.49
DOC3,Orthopedics,20,Friday,18,2,normal,78.38
DOC1,Cardiology,15,Wednesday,16,1,emergency,3.21
DOC3,Orthopedics,20,Tuesday,11,3,normal,102.91
DOC6,General Medicine,10,Monday,13,2,normal,33.1
DOC5,Dermatology,8,Wednesday,10,6,normal,77.47
DOC5,Dermatology,8,Thursday,19,3,normal,32.86
DOC6,General Medicine,10,Monday,14,2,normal,27.54
DOC6,General Medicine,10,Saturday,10,3,normal,35.96
DOC6,General Medicine,10,Thursday,17,3,normal,52.55
DOC4,Pediatrics,12,Tuesday,17,4,normal,72.74
DOC1,Cardiology,15,Monday,11,5,normal,157.16
DOC4,Pediatrics,12,Saturday,19,5,normal,49.05
DOC3,Orthopedics,20,Saturday,15,1,normal,37.78
DOC5,Dermatology,8,Thursday,12,1,normal,11.25
DOC6,General Medicine,10,Tuesday,19,6,normal,69.37
DOC6,General Medicine,10,Tuesday,9,3,normal,58.77
DOC3,Orthopedics,20,Thursday,18,3,normal,108.44
DOC3,Orthopedics,20,Saturday,13,4,normal,53.84
DOC1,Cardiology,15,Wednesday,19,2,normal,38.36
DOC3,Orthopedics,20,Thursday,15,3,normal,103.9
DOC3,Orthopedics,20,Sunday,9,6,normal,135.65
DOC5,Dermatology,8,Tuesday,12,3,normal,28.17
DOC1,Cardiology,15,Wednesday,10,4,normal,105.79
DOC1,Cardiology,15,Saturday,18,4,normal,66.11
DOC3,Orthopedics,20,Saturday,12,4,normal,55.61
DOC5,Dermatology,8,Sunday,18,1,normal,14.69
DOC5,Dermatology,8,Saturday,10,3,normal,34.03
DOC2,General Medicine,10,Monday,16,6,normal,113.37
DOC3,Orthopedics,20,Monday,13,4,normal,102.28
DOC3,Orthopedics,20,Friday,10,3,normal,111.87
DOC2,General Medicine,10,Wednesday,16,2,normal,37.98
DOC2,General Medicine,10,Friday,15,4,normal,62.59
DOC5,Dermatology,8,Tuesday,18,7,normal,81.0
DOC2,General Medicine,10,Friday,19,6,normal,63.13
DOC3,Orthopedics,20,Sunday,12,2,normal,30.16
DOC4,Pediatrics,12,Thursday,11,3,normal,67.01
DOC5,Dermatology,8,Sunday,10,4,normal,40.65
DOC1,Cardiology,15,Sunday,13,8,normal,72.66
DOC2,General Medicine,10,Friday,10,3,normal,61.55
DOC6,General Medicine,10,Friday,18,5,normal,77.39
DOC6,General Medicine,10,Friday,14,6,normal,60.96
DOC1,Cardiology,15,Friday,18,8,normal,174.78
DOC1,Cardiology,15,Monday,17,1,normal,50.27
DOC1,Cardiology,15,Sunday,10,2,normal,43.58
DOC1,Cardiology,15,Wednesday,10,4,normal,99.8
DOC5,Dermatology,8,Thursday,19,2,normal,25.33
DOC1,Cardiology,15,Monday,17,2,normal,80.08
DOC6,General Medicine,10,Thursday,14,4,normal,39.9
DOC1,Cardiology,15,Thursday,17,6,normal,137.92
DOC3,Orthopedics,20,Tuesday,13,5,normal,92.92
DOC3,Orthopedics,20,Friday,12,4,normal,81.82
DOC4,Pediatrics,12,Monday,13,2,normal,39.9
DOC3,Orthopedics,20,Sunday,18,5,normal,106.47
DOC1,Cardiology,15,Tuesday,15,8,normal,178.21
DOC6,General Medicine,10,Thursday,18,1,normal,19.92
DOC5,Dermatology,8,Friday,16,4,normal,43.93
DOC3,Orthopedics,20,Monday,16,5,normal,202.43
DOC2,General Medicine,10,Sunday,12,3,normal,24.29
DOC4,Pediatrics,12,Friday,18,5,normal,95.9
DOC2,General Medicine,10,Monday,14,5,normal,61.85
DOC2,General Medicine,10,Tuesday,14,5,normal,52.88
DOC1,Cardiology,15,Tuesday,19,6,normal,94.3
DOC5,Dermatology,8,Sunday,9,1,normal,12.73
DOC5,Dermatology,8,Thursday,16,4,normal,47.75
DOC4,Pediatrics,12,Thursday,19,6,normal,73.67
DOC6,General Medicine,10,Thursday,13,3,emergency,4.82
DOC4,Pediatrics,12,Tuesday,11,3,normal,65.13
DOC4,Pediatrics,12,Saturday,15,5,normal,67.32
DOC5,Dermatology,8,Saturday,9,6,normal,55.22
DOC6,General Medicine,10,Wednesday,19,4,normal,47.32
DOC6,General Medicine,10,Wednesday,10,1,emergency,8.21
DOC6,General Medicine,10,Friday,13,5,emergency,2.89
DOC4,Pediatrics,12,Wednesday,14,6,normal,70.1
DOC4,Pediatrics,12,Saturday,16,2,normal,31.06
DOC6,General Medicine,10,Friday,11,1,normal,34.82
DOC5,Dermatology,8,Thursday,11,6,normal,74.07
DOC5,Dermatology,8,Friday,14,6,normal,46.13
DOC3,Orthopedics,20,Sunday,15,2,normal,58.66
DOC6,General Medicine,10,Saturday,14,4,normal,34.3
DOC4,Pediatrics,12,Thursday,17,5,normal,92.82
DOC1,Cardiology,15,Saturday,14,5,normal,57.8
DOC6,General Medicine,10,Sunday,19,6,normal,47.34
DOC3,Orthopedics,20,Sunday,16,1,normal,40.53
DOC2,General Medicine,10,Monday,15,1,emergency,5.65
DOC2,General Medicine,10,Friday,14,5,normal,45.49
DOC4,Pediatrics,12,Thursday,13,3,normal,34.08
DOC3,Orthopedics,20,Monday,17,6,normal,235.28
DOC1,Cardiology,15,Tuesday,16,3,normal,76.76
DOC6,General Medicine,10,Tuesday,11,4,normal,74.51
DOC4,Pediatrics,12,Sunday,17,3,normal,46.54
DOC3,Orthopedics,20,Sunday,11,7,normal,159.17
DOC5,Dermatology,8,Friday,12,5,normal,39.7
DOC2,General Medicine,10,Sunday,15,5,normal,48.84
DOC2,General Medicine,10,Friday,9,4,normal,74.32
DOC2,General Medicine,10,Monday,17,3,normal,68.87
DOC6,General Medicine,10,Monday,17,3,normal,69.58
DOC2,General Medicine,10,Sunday,16,3,normal,35.96
DOC1,Cardiology,15,Friday,9,4,normal,106.29
DOC3,Orthopedics,20,Friday,18,5,normal,159.61
DOC2,General Medicine,10,Tuesday,15,3,normal,52.72
DOC6,General Medicine,10,Sunday,19,7,normal,47.98
DOC3,Orthopedics,20,Sunday,11,3,emergency,1.63
DOC1,Cardiology,15,Friday,9,4,normal,102.94
DOC5,Dermatology,8,Saturday,13,2,normal,11.96
DOC1,Cardiology,15,Sunday,12,5,normal,45.95
DOC2,General Medicine,10,Saturday,14,9,emergency,11.42
DOC1,Cardiology,15,Sunday,12,3,normal,31.17
DOC2,General Medicine,10,Saturday,14,5,normal,32.19
DOC6,General Medicine,10,Thursday,13,6,normal,59.36
DOC2,General Medicine,10,Wednesday,10,6,normal,98.32
DOC2,General Medicine,10,Friday,16,6,normal,93.99
DOC1,Cardiology,15,Wednesday,19,4,normal,68.06
DOC5,Dermatology,8,Friday,9,4,normal,59.24
DOC3,Orthopedics,20,Saturday,11,4,normal,99.96
DOC4,Pediatrics,12,Friday,12,1,normal,20.59
DOC3,Orthopedics,20,Friday,10,4,normal,140.55
DOC6,General Medicine,10,Tuesday,16,6,normal,92.9
DOC5,Dermatology,8,Sunday,17,3,normal,28.3
DOC5,Dermatology,8,Saturday,13,5,normal,23.25
DOC2,General Medicine,10,Saturday,10,6,normal,66.07
DOC3,Orthopedics,20,Friday,9,1,normal,58.53
DOC2,General Medicine,10,Friday,18,1,normal,30.73
DOC3,Orthopedics,20,Sunday,18,3,emergency,6.5
DOC3,Orthopedics,20,Saturday,17,3,normal,71.04
DOC1,Cardiology,15,Tuesday,9,5,normal,126.57
DOC2,General Medicine,10,Thursday,16,3,normal,51.51
DOC3,Orthopedics,20,Friday,13,3,normal,67.27
DOC6,General Medicine,10,Thursday,13,2,normal,24.73
DOC4,Pediatrics,12,Monday,12,5,normal,72.33
DOC6,General Medicine,10,Thursday,11,4,normal,69.52
DOC5,Dermatology,8,Monday,17,4,normal,66.87
DOC3,Orthopedics,20,Saturday,10,7,normal,164.55
DOC5,Dermatology,8,Friday,18,2,normal,27.21
DOC6,General Medicine,10,Saturday,12,6,normal,35.03
DOC2,General Medicine,10,Monday,9,7,normal,145.24
DOC3,Orthopedics,20,Monday,13,6,emergency,5.35
DOC4,Pediatrics,12,Sunday,15,5,normal,62.69
DOC5,Dermatology,8,Friday,10,6,normal,80.43
DOC4,Pediatrics,12,Saturday,10,6,normal,82.21
DOC4,Pediatrics,12,Friday,12,4,normal,48.29
DOC5,Dermatology,8,Wednesday,17,2,normal,36.47
DOC1,Cardiology,15,Wednesday,16,2,normal,59.36
DOC6,General Medicine,10,Monday,17,5,normal,104.23
DOC2,General Medicine,10,Thursday,14,1,normal,16.66
DOC4,Pediatrics,12,Thursday,15,4,normal,78.54
DOC6,General Medicine,10,Friday,11,4,normal,67.34
DOC2,General Medicine,10,Saturday,18,5,normal,52.73
DOC1,Cardiology,15,Thursday,15,5,normal,112.37
DOC5,Dermatology,8,Friday,19,7,emergency,4.85
DOC6,General Medicine,10,Tuesday,18,4,normal,68.8
DOC5,Dermatology,8,Friday,17,5,normal,59.49
DOC3,Orthopedics,20,Monday,14,1,normal,44.25
DOC5,Dermatology,8,Thursday,18,4,normal,48.36
DOC2,General Medicine,10,Saturday,17,0,normal,12.55
DOC5,Dermatology,8,Friday,16,2,normal,29.33
DOC4,Pediatrics,12,Saturday,13,3,normal,24.23
DOC6,General Medicine,10,Wednesday,10,4,normal,65.67
DOC3,Orthopedics,20,Sunday,13,3,normal,45.97
DOC6,General Medicine,10,Monday,12,2,normal,29.0
DOC5,Dermatology,8,Sunday,11,4,normal,43.08
DOC1,Cardiology,15,Wednesday,13,5,normal,70.73
DOC1,Cardiology,15,Saturday,13,2,normal,25.4
DOC3,Orthopedics,20,Saturday,10,3,normal,83.19
DOC2,General Medicine,10,Wednesday,10,3,normal,51.14
DOC2,General Medicine,10,Friday,13,4,normal,41.89
DOC3,Orthopedics,20,Thursday,14,3,normal,62.69
DOC4,Pediatrics,12,Monday,17,1,normal,43.7
DOC1,Cardiology,15,Wednesday,16,5,normal,116.21
DOC4,Pediatrics,12,Monday,10,3,normal,83.53
DOC2,General Medicine,10,Saturday,10,0,normal,7.07
DOC2,General Medicine,10,Monday,14,2,normal,30.61
DOC3,Orthopedics,20,Friday,15,3,emergency,3.45
DOC2,General Medicine,10,Wednesday,9,7,normal,108.6
DOC1,Cardiology,15,Wednesday,11,7,normal,168.74
DOC4,Pediatrics,12,Tuesday,14,7,normal,73.42
DOC2,General Medicine,10,Thursday,14,6,normal,58.33
DOC3,Orthopedics,20,Wednesday,16,7,normal,206.1
DOC4,Pediatrics,12,Monday,18,3,normal,80.53
DOC6,General Medicine,10,Tuesday,17,8,normal,116.07
DOC4,Pediatrics,12,Wednesday,13,2,normal,28.51
DOC1,Cardiology,15,Sunday,11,8,normal,137.93
DOC5,Dermatology,8,Monday,10,4,normal,73.57
DOC5,Dermatology,8,Tuesday,18,5,normal,67.3
DOC6,General Medicine,10,Friday,14,2,normal,20.98
DOC1,Cardiology,15,Friday,12,4,normal,57.82
DOC6,General Medicine,10,Friday,19,1,normal,10.83
DOC6,General Medicine,10,Thursday,13,6,normal,56.38
DOC3,Orthopedics,20,Sunday,11,2,emergency,4.73
DOC6,General Medicine,10,Wednesday,11,1,normal,26.77
DOC3,Orthopedics,20,Tuesday,9,1,normal,60.89
DOC5,Dermatology,8,Thursday,13,3,normal,26.15
DOC6,General Medicine,10,Monday,9,9,normal,185.67
DOC6,General Medicine,10,Sunday,9,1,normal,17.86
DOC1,Cardiology,15,Tuesday,17,3,normal,74.52
DOC5,Dermatology,8,Wednesday,10,6,normal,72.95
DOC1,Cardiology,15,Friday,11,5,normal,132.41
DOC6,General Medicine,10,Friday,17,3,normal,55.49
DOC3,Orthopedics,20,Sunday,18,3,normal,69.97
DOC6,General Medicine,10,Sunday,12,8,normal,51.32
DOC1,Cardiology,15,Friday,14,3,normal,46.74
DOC5,Dermatology,8,Tuesday,16,3,normal,36.92
DOC4,Pediatrics,12,Sunday,18,6,normal,76.57
DOC3,Orthopedics,20,Saturday,10,1,normal,35.1
DOC1,Cardiology,15,Thursday,11,4,normal,106.17
DOC1,Cardiology,15,Friday,9,3,normal,84.24
DOC1,Cardiology,15,Friday,11,5,normal,128.59
DOC5,Dermatology,8,Tuesday,15,1,normal,21.73
DOC3,Orthopedics,20,Sunday,11,2,normal,59.64
DOC2,General Medicine,10,Tuesday,15,2,normal,41.46
DOC5,Dermatology,8,Friday,10,2,emergency,2.82
DOC1,Cardiology,15,Saturday,9,2,normal,43.73
DOC3,Orthopedics,20,Saturday,12,7,normal,91.11
DOC4,Pediatrics,12,Sunday,13,3,normal,29.09
DOC1,Cardiology,15,Monday,10,2,normal,79.65
DOC2,General Medicine,10,Tuesday,16,7,normal,105.54
DOC3,Orthopedics,20,Wednesday,17,3,normal,107.88
DOC4,Pediatrics,12,Sunday,19,7,normal,61.75
DOC1,Cardiology,15,Saturday,9,7,normal,112.98
DOC4,Pediatrics,12,Tuesday,10,2,normal,49.84
DOC1,Cardiology,15,Friday,12,5,normal,78.18
DOC2,General Medicine,10,Wednesday,15,3,normal,49.47
DOC6,General Medicine,10,Wednesday,12,7,normal,62.17
DOC3,Orthopedics,20,Sunday,17,6,normal,128.18
DOC1,Cardiology,15,Friday,12,5,normal,74.53
DOC2,General Medicine,10,Thursday,14,4,normal,40.88
DOC3,Orthopedics,20,Friday,15,1,normal,53.27
DOC1,Cardiology,15,Friday,12,3,normal,44.61
DOC1,Cardiology,15,Thursday,15,2,normal,55.41
DOC3,Orthopedics,20,Tuesday,12,4,normal,82.01
DOC4,Pediatrics,12,Saturday,9,4,normal,55.6
DOC5,Dermatology,8,Thursday,18,6,normal,67.75
DOC6,General Medicine,10,Saturday,13,7,normal,43.87
DOC2,General Medicine,10,Tuesday,14,3,normal,31.67
DOC5,Dermatology,8,Sunday,13,2,normal,13.8
DOC2,General Medicine,10,Saturday,16,4,normal,43.31
DOC5,Dermatology,8,Tuesday,11,6,normal,69.99
DOC2,General Medicine,10,Monday,13,8,normal,90.41
DOC5,Dermatology,8,Thursday,16,3,normal,44.7
DOC5,Dermatology,8,Saturday,18,3,normal,23.95
DOC2,General Medicine,10,Monday,10,4,normal,91.22
DOC4,Pediatrics,12,Saturday,12,7,normal,58.89
DOC6,General Medicine,10,Sunday,14,7,normal,44.51
DOC6,General Medicine,10,Thursday,18,2,normal,37.83
DOC6,General Medicine,10,Saturday,10,3,normal,43.31
DOC2,General Medicine,10,Sunday,10,7,normal,84.14
DOC4,Pediatrics,12,Monday,14,7,normal,105.83
DOC2,General Medicine,10,Wednesday,17,2,normal,39.89
DOC4,Pediatrics,12,Friday,10,1,normal,32.25
DOC5,Dermatology,8,Thursday,19,2,normal,25.14
DOC4,Pediatrics,12,Thursday,9,1,normal,32.37
DOC1,Cardiology,15,Tuesday,10,4,normal,103.36
DOC2,General Medicine,10,Sunday,17,4,normal,50.51
DOC5,Dermatology,8,Friday,16,6,normal,71.66
DOC1,Cardiology,15,Sunday,14,5,normal,57.57
DOC3,Orthopedics,20,Monday,9,4,normal,186.33
DOC4,Pediatrics,12,Wednesday,12,5,normal,54.8
DOC5,Dermatology,8,Friday,13,9,normal,66.02
DOC1,Cardiology,15,Friday,14,4,normal,61.47
DOC1,Cardiology,15,Monday,10,3,normal,113.71
DOC3,Orthopedics,20,Friday,19,3,emergency,3.48
DOC2,General Medicine,10,Saturday,13,1,normal,9.07
DOC6,General Medicine,10,Friday,17,6,normal,94.43
DOC4,Pediatrics,12,Saturday,11,3,normal,46.28
DOC2,General Medicine,10,Friday,12,6,normal,58.98
DOC6,General Medicine,10,Wednesday,15,3,normal,55.17
DOC1,Cardiology,15,Friday,12,3,normal,49.55
DOC2,General Medicine,10,Sunday,15,10,normal,98.52
DOC2,General Medicine,10,Monday,14,4,normal,53.56
DOC5,Dermatology,8,Tuesday,12,3,normal,18.99
DOC1,Cardiology,15,Friday,9,0,normal,21.14
DOC6,General Medicine,10,Tuesday,12,3,normal,31.49
DOC3,Orthopedics,20,Monday,9,5,emergency,3.82
DOC1,Cardiology,15,Thursday,12,5,normal,72.99
DOC5,Dermatology,8,Thursday,11,6,normal,75.74
DOC6,General Medicine,10,Saturday,13,4,emergency,6.5
DOC4,Pediatrics,12,Sunday,10,4,normal,53.01
DOC2,General Medicine,10,Wednesday,17,2,normal,37.37
DOC5,Dermatology,8,Thursday,18,3,normal,43.28
DOC4,Pediatrics,12,Thursday,15,1,normal,29.99
DOC5,Dermatology,8,Saturday,10,1,normal,16.36
DOC6,General Medicine,10,Friday,18,7,normal,104.68
DOC4,Pediatrics,12,Monday,13,3,normal,50.26
DOC6,General Medicine,10,Monday,13,4,normal,51.67
DOC6,General Medicine,10,Friday,15,4,normal,63.86
DOC6,General Medicine,10,Saturday,17,5,normal,56.82
DOC2,General Medicine,10,Tuesday,12,7,normal,62.93
DOC6,General Medicine,10,Saturday,16,6,normal,64.8
DOC6,General Medicine,10,Wednesday,10,6,normal,93.77
DOC2,General Medicine,10,Friday,15,4,normal,65.83
DOC1,Cardiology,15,Tuesday,13,5,normal,67.82
DOC3,Orthopedics,20,Saturday,14,9,normal,110.54
DOC6,General Medicine,10,Wednesday,15,5,normal,83.54
DOC6,General Medicine,10,Tuesday,16,2,normal,42.57
DOC2,General Medicine,10,Friday,17,6,normal,90.57
DOC2,General Medicine,10,Thursday,10,7,normal,110.7
DOC4,Pediatrics,12,Sunday,15,6,normal,75.42
DOC2,General Medicine,10,Wednesday,12,5,normal,48.96
DOC1,Cardiology,15,Wednesday,14,3,normal,49.41
DOC2,General Medicine,10,Tuesday,13,2,normal,24.31
DOC1,Cardiology,15,Monday,14,4,normal,74.75
DOC6,General Medicine,10,Tuesday,9,5,normal,82.98
DOC6,General Medicine,10,Saturday,10,2,normal,33.16
DOC3,Orthopedics,20,Tuesday,15,2,normal,81.41
DOC3,Orthopedics,20,Friday,18,5,normal,154.2
DOC6,General Medicine,10,Monday,12,3,normal,39.31
DOC1,Cardiology,15,Friday,13,2,normal,30.52
DOC4,Pediatrics,12,Monday,15,7,normal,165.25
DOC6,General Medicine,10,Sunday,17,2,normal,20.9
DOC1,Cardiology,15,Monday,17,3,normal,94.81
DOC4,Pediatrics,12,Thursday,14,2,normal,29.64
DOC1,Cardiology,15,Thursday,16,1,normal,37.04
DOC1,Cardiology,15,Wednesday,9,2,normal,65.2
DOC4,Pediatrics,12,Sunday,15,6,emergency,1.36
DOC2,General Medicine,10,Sunday,10,5,normal,59.07
DOC1,Cardiology,15,Wednesday,16,4,normal,97.82
DOC4,Pediatrics,12,Tuesday,14,2,normal,29.29
DOC2,General Medicine,10,Tuesday,11,6,normal,97.91
DOC3,Orthopedics,20,Saturday,10,4,normal,95.98
DOC5,Dermatology,8,Wednesday,15,1,normal,14.15
DOC1,Cardiology,15,Sunday,13,2,normal,24.23
DOC2,General Medicine,10,Saturday,13,1,normal,11.91
DOC6,General Medicine,10,Thursday,9,2,normal,40.61
DOC1,Cardiology,15,Friday,15,4,normal,98.66
DOC1,Cardiology,15,Thursday,17,7,normal,160.5
DOC3,Orthopedics,20,Monday,12,3,normal,82.84
DOC1,Cardiology,15,Monday,16,10,normal,278.15
DOC2,General Medicine,10,Monday,9,7,normal,144.4
DOC4,Pediatrics,12,Sunday,16,3,normal,38.99
DOC4,Pediatrics,12,Sunday,11,1,normal,21.72
DOC5,Dermatology,8,Thursday,11,4,normal,60.28
DOC5,Dermatology,8,Friday,17,6,normal,73.91
DOC6,General Medicine,10,Wednesday,16,4,normal,58.78
DOC2,General Medicine,10,Saturday,14,2,normal,16.19
DOC1,Cardiology,15,Tuesday,9,2,normal,62.52
DOC4,Pediatrics,12,Friday,10,2,normal,54.76
DOC2,General Medicine,10,Saturday,11,8,normal,83.85
DOC5,Dermatology,8,Friday,10,4,normal,55.3
DOC2,General Medicine,10,Sunday,14,1,normal,11.38
DOC2,General Medicine,10,Wednesday,18,4,normal,63.8
DOC4,Pediatrics,12,Tuesday,17,5,normal,89.99
DOC6,General Medicine,10,Sunday,19,5,normal,42.3
DOC3,Orthopedics,20,Saturday,15,4,normal,87.67
DOC5,Dermatology,8,Tuesday,15,0,normal,15.54
DOC1,Cardiology,15,Thursday,13,2,normal,41.43
DOC5,Dermatology,8,Sunday,12,1,normal,11.65
DOC6,General Medicine,10,Thursday,14,2,normal,26.8
DOC4,Pediatrics,12,Monday,13,7,normal,100.95
DOC5,Dermatology,8,Sunday,13,6,normal,30.33
DOC3,Orthopedics,20,Sunday,17,3,normal,81.93
DOC1,Cardiology,15,Sunday,12,4,normal,41.82
DOC5,Dermatology,8,Sunday,18,6,normal,46.2
DOC3,Orthopedics,20,Saturday,12,7,emergency,3.22
DOC2,General Medicine,10,Monday,16,1,normal,30.92
DOC1,Cardiology,15,Thursday,14,4,normal,60.44
DOC6,General Medicine,10,Wednesday,16,3,normal,54.44
DOC2,General Medicine,10,Sunday,17,7,normal,71.46
DOC2,General Medicine,10,Thursday,17,1,normal,24.49
DOC2,General Medicine,10,Wednesday,11,6,normal,97.7
DOC1,Cardiology,15,Sunday,13,6,normal,59.12
DOC5,Dermatology,8,Tuesday,11,6,normal,84.06
DOC4,Pediatrics,12,Tuesday,14,3,normal,33.9
DOC2,General Medicine,10,Thursday,11,3,normal,58.01
DOC3,Orthopedics,20,Wednesday,19,5,normal,110.42
DOC3,Orthopedics,20,Wednesday,9,4,emergency,5.02
DOC5,Dermatology,8,Wednesday,18,4,normal,50.47
DOC2,General Medicine,10,Monday,11,5,emergency,8.05
DOC1,Cardiology,15,Monday,18,2,emergency,5.73
DOC1,Cardiology,15,Sunday,9,1,normal,28.19
DOC2,General Medicine,10,Friday,16,5,normal,81.22
DOC3,Orthopedics,20,Thursday,12,5,normal,88.63
DOC6,General Medicine,10,Tuesday,13,3,normal,29.06
DOC4,Pediatrics,12,Friday,13,7,normal,72.59
DOC6,General Medicine,10,Monday,19,3,normal,46.68
DOC6,General Medicine,10,Friday,18,5,normal,73.09
DOC1,Cardiology,15,Friday,13,4,normal,62.25
DOC1,Cardiology,15,Saturday,12,6,normal,59.41
DOC4,Pediatrics,12,Thursday,11,5,normal,98.75
DOC4,Pediatrics,12,Sunday,11,4,normal,57.43
DOC4,Pediatrics,12,Monday,11,4,normal,104.98
DOC2,General Medicine,10,Saturday,16,6,normal,61.67
DOC1,Cardiology,15,Monday,9,4,normal,136.16
DOC2,General Medicine,10,Thursday,16,4,normal,65.72
DOC3,Orthopedics,20,Monday,19,5,normal,140.1
DOC3,Orthopedics,20,Sunday,12,0,normal,15.56
DOC1,Cardiology,15,Tuesday,16,7,normal,161.64
DOC6,General Medicine,10,Saturday,14,5,normal,35.67
DOC6,General Medicine,10,Sunday,10,2,normal,23.82
DOC4,Pediatrics,12,Tuesday,16,3,normal,59.72
DOC5,Dermatology,8,Tuesday,16,4,normal,48.69
DOC2,General Medicine,10,Sunday,16,5,normal,51.86
DOC6,General Medicine,10,Sunday,11,5,normal,59.91
DOC6,General Medicine,10,Saturday,9,2,normal,32.87
DOC6,General Medicine,10,Sunday,12,4,normal,27.44
DOC6,General Medicine,10,Wednesday,9,5,normal,84.79
DOC5,Dermatology,8,Wednesday,12,1,normal,8.95
DOC6,General Medicine,10,Wednesday,15,8,emergency,3.91
DOC1,Cardiology,15,Sunday,18,3,normal,53.04
DOC3,Orthopedics,20,Friday,12,6,normal,113.13
DOC6,General Medicine,10,Tuesday,13,4,normal,38.9
DOC4,Pediatrics,12,Sunday,19,4,normal,41.47
DOC6,General Medicine,10,Wednesday,16,6,normal,85.99
DOC2,General Medicine,10,Wednesday,16,4,normal,61.22
DOC6,General Medicine,10,Thursday,19,3,emergency,4.19
DOC5,Dermatology,8,Wednesday,12,6,normal,44.41
DOC6,General Medicine,10,Monday,18,5,emergency,4.24
DOC2,General Medicine,10,Sunday,17,4,normal,44.39
DOC6,General Medicine,10,Tuesday,10,5,normal,87.12
DOC5,Dermatology,8,Monday,14,2,normal,25.39
DOC1,Cardiology,15,Sunday,11,1,normal,31.13
DOC2,General Medicine,10,Saturday,10,5,normal,59.44
DOC5,Dermatology,8,Sunday,18,3,normal,24.85
DOC5,Dermatology,8,Wednesday,16,6,normal,75.96
DOC5,Dermatology,8,Friday,13,7,normal,51.82
DOC6,General Medicine,10,Monday,17,4,normal,83.61
DOC2,General Medicine,10,Sunday,15,4,normal,43.65
DOC1,Cardiology,15,Monday,18,1,normal,53.56
DOC1,Cardiology,15,Thursday,13,7,normal,97.39
DOC6,General Medicine,10,Friday,10,3,normal,53.77
DOC4,Pediatrics,12,Sunday,9,2,normal,30.9
DOC5,Dermatology,8,Wednesday,15,3,normal,35.77
DOC2,General Medicine,10,Saturday,14,2,emergency,3.59
DOC4,Pediatrics,12,Monday,16,2,normal,63.28
DOC3,Orthopedics,20,Friday,18,4,normal,126.68
DOC2,General Medicine,10,Wednesday,15,4,normal,62.32
DOC4,Pediatrics,12,Saturday,16,4,normal,48.28
DOC2,General Medicine,10,Saturday,18,7,normal,70.47
DOC4,Pediatrics,12,Thursday,10,1,normal,31.0
DOC4,Pediatrics,12,Friday,13,3,normal,38.9
DOC1,Cardiology,15,Tuesday,17,5,normal,119.9
DOC6,General Medicine,10,Sunday,15,2,normal,26.61
DOC2,General Medicine,10,Wednesday,17,1,normal,27.5
DOC2,General Medicine,10,Wednesday,11,3,normal,52.67
DOC2,General Medicine,10,Wednesday,10,3,normal,58.18
DOC5,Dermatology,8,Friday,14,0,normal,9.39
DOC2,General Medicine,10,Sunday,17,7,normal,79.91
DOC2,General Medicine,10,Tuesday,14,7,normal,66.1
DOC4,Pediatrics,12,Wednesday,17,2,emergency,5.17
DOC4,Pediatrics,12,Thursday,12,5,normal,56.76
DOC5,Dermatology,8,Monday,9,1,normal,28.01
DOC3,Orthopedics,20,Wednesday,13,9,normal,157.83
DOC1,Cardiology,15,Sunday,16,7,normal,108.25
DOC3,Orthopedics,20,Monday,14,0,normal,24.24
DOC2,General Medicine,10,Tuesday,13,1,normal,17.36
DOC3,Orthopedics,20,Friday,10,1,normal,59.9
DOC1,Cardiology,15,Tuesday,10,2,normal,60.86
